-BEGIN HEADER-,,,,,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,,,,,,,,
Dates (month/day/year): 05/01/2020 through 05/01/2021 ,,,,,,,,,,,,,,,,,,
Location: Latitude  -37.816   Longitude 144.9846 ,,,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 194.51 meters   Site = na ,,,,,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,,,
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,,,
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,,,19 384,,
-END HEADER-,,,,,,,,,,,,,,,,50m Range,50m Max,50m Min
LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,5,1,1.56,1.82,11.76,8.37,13.31,10.19,12.3,9.16,,,,0.55,2.82,0.08
-37.81599,144.98461,2020,5,2,2.11,2.21,10.16,6.99,12.26,9.2,11.1,7.96,,,,4.287978142,8.228415301,3.940218579
-37.81599,144.98461,2020,5,3,4.44,3.76,5.48,3.01,9.92,6.77,6.9,4.54,,,,,,
-37.81599,144.98461,2020,5,4,3.58,2.28,1.96,1.28,5.54,3.56,4.2,2.78,,,,,,
-37.81599,144.98461,2020,5,5,6.01,3.78,1.32,0.97,7.33,4.74,4.46,2.98,,,,,,
-37.81599,144.98461,2020,5,6,4.13,3.18,6.51,4.14,10.63,7.32,8.48,5.71,,,,,,
-37.81599,144.98461,2020,5,7,5.69,6.07,7.96,4.48,13.66,10.56,11.26,7.74,,,,,,
-37.81599,144.98461,2020,5,8,2.77,2.48,5.87,3.92,8.64,6.41,7.71,5,,,,,,
-37.81599,144.98461,2020,5,9,3.98,2.47,5.92,4.2,9.9,6.67,8.25,5.75,,,,,,
-37.81599,144.98461,2020,5,10,3.96,3.16,5.16,3,9.11,6.16,6.73,4.41,,,,,,
-37.81599,144.98461,2020,5,11,2.69,1.6,4.53,2.63,7.22,4.23,5.63,3.68,,,,,,
-37.81599,144.98461,2020,5,12,2.97,3.79,7.32,4.23,10.29,8.02,8.52,5.77,,,,,,
-37.81599,144.98461,2020,5,13,3.26,2.42,3.6,2.1,6.86,4.51,4.72,3.2,,,,,,
-37.81599,144.98461,2020,5,14,0.98,1.25,2.75,1.84,3.73,3.08,3.34,2.38,,,,,,
-37.81599,144.98461,2020,5,15,2.53,1.72,0.97,0.7,3.5,2.42,1.86,1.36,,,,,,
-37.81599,144.98461,2020,5,16,2.84,3.16,3.35,1.88,6.19,5.05,4.67,3.21,,,,,,
-37.81599,144.98461,2020,5,17,4.15,2.47,0.46,0.5,4.61,2.97,3.02,2.08,,,,,,
-37.81599,144.98461,2020,5,18,4.6,3.66,3.03,2.12,7.63,5.78,5.97,3.8,,,,,,
-37.81599,144.98461,2020,5,19,3.1,3.8,7.26,4.17,10.37,7.98,8.84,6.09,,,,,,
-37.81599,144.98461,2020,5,20,4.49,3.3,6,4.01,10.49,7.31,8.16,5.74,,,,,,
-37.81599,144.98461,2020,5,21,5.42,4.89,2.62,1.69,8.04,6.57,5.98,4.05,,,,,,
-37.81599,144.98461,2020,5,22,2.92,1.65,3.48,2.22,6.4,3.86,4.71,3.13,,,,,,
-37.81599,144.98461,2020,5,23,4.32,3.65,4.04,2.47,8.36,6.12,6.41,4.48,,,,,,
